Category,URL,회사명,타이틀
백엔드,https://www.wanted.co.kr/wd/49164,아데나소프트웨어,[300억↑투자] 자바 백엔드 엔지니어 (암호화폐 거래 플랫폼)
백엔드,https://www.wanted.co.kr/wd/173953,위메이드(WEMADE),프론트엔드 개발(WemixPlay 백오피스)
백엔드,https://www.wanted.co.kr/wd/187477,오늘의웹툰,백엔드/데이터 엔지니어
백엔드,https://www.wanted.co.kr/wd/178591,네오사피엔스(타입캐스트),백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/186831,인포유앤컴퍼니,백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/151738,코드잇(codeit),[100억↑투자] 백엔드 엔지니어
백엔드,https://www.wanted.co.kr/wd/168016,넷마블,웹 백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/181535,테크스페이스,백엔드 개발자 (Node.js) (신입)
백엔드,https://www.wanted.co.kr/wd/185824,버블콘,백엔드 개발자(JAVA)
백엔드,https://www.wanted.co.kr/wd/167952,에이치엠씨네트웍스,[CARENATION] Java 백엔드 개발자
백엔드,https://www.wanted.co.kr/wd/192470,백퍼센트,[충전돼지] 백엔드개발자
백엔드,https://www.wanted.co.kr/wd/142319,드림시스,"솔루션 개발 (자바, 스프링, 백엔드, 풀스택 - JAVA, Spring, Backend, Full Stack)"
백엔드,https://www.wanted.co.kr/wd/187651,언컷젬스컴퍼니,Product Developer(백엔드)
백엔드,https://www.wanted.co.kr/wd/186409,프리윌린,[100억↑투자] 매쓰플랫 백엔드 개발자 (3년 이상)
백엔드,https://www.wanted.co.kr/wd/102917,월급쟁이부자들,백엔드 엔지니어(BE)
백엔드,https://www.wanted.co.kr/wd/190703,위메이드(WEMADE),백엔드 개발(게임 퍼블리싱 플랫폼)
백엔드,https://www.wanted.co.kr/wd/162405,엘리스,[신입] 백엔드 엔지니어 (Python)
백엔드,https://www.wanted.co.kr/wd/90057,카르도,백엔드 개발자 (Back-end Developer)
백엔드,https://www.wanted.co.kr/wd/119447,에이블리코퍼레이션,백엔드 엔지니어
백엔드,https://www.wanted.co.kr/wd/122298,미스터블루,백엔드 개발자(Java/Spring) (신규 웹소설 플랫폼)
백엔드,https://www.wanted.co.kr/wd/120127,해봄데이터,"웹 개발(프론트엔드, 백엔드)"
백엔드,https://www.wanted.co.kr/wd/191559,아이쿱,닥터바이스 개발팀 백엔드 개발
백엔드,https://www.wanted.co.kr/wd/169640,펑타이그레이터차이나(피티코리아),백엔드 자바 개발자 운영 및 구축
백엔드,https://www.wanted.co.kr/wd/184594,팀프레시,[100억↑투자] 시스템개발3팀 백엔드/풀스택 개발자
백엔드,https://www.wanted.co.kr/wd/182416,누비랩,[100억↑투자] 백엔드 엔지니어
백엔드,https://www.wanted.co.kr/wd/168694,오투플러스(O2PLUSS),백엔드(Back-end) 개발자
백엔드,https://www.wanted.co.kr/wd/188580,펜타시큐리티,백엔드 웹 개발자
백엔드,https://www.wanted.co.kr/wd/187944,와들,백엔드 엔지니어
백엔드,https://www.wanted.co.kr/wd/186965,에임(AIM),백엔드 개발자
