Category,URL,회사명,타이틀
데이터,https://www.wanted.co.kr/wd/189463,프렉스코리아(Presto),Data Analyst
데이터,https://www.wanted.co.kr/wd/166369,당근마켓,데이터 분석가 - 지역 사업
데이터,https://www.wanted.co.kr/wd/191938,앰버로드,Data Scientist
데이터,https://www.wanted.co.kr/wd/188796,지엔에이컴퍼니,[플레이오] 데이터 과학자
데이터,https://www.wanted.co.kr/wd/156620,기어세컨드,데이터 분석가
데이터,https://www.wanted.co.kr/wd/185302,한국신용데이터(KCD),[2600억↑투자] 광고전략 AE
데이터,https://www.wanted.co.kr/wd/144991,빌리오,데이터 사이언티스트
데이터,https://www.wanted.co.kr/wd/184269,메디웨일,데이터 사이언티스트
데이터,https://www.wanted.co.kr/wd/181916,무신사,Data Analyst (데이터플랫폼팀)
데이터,https://www.wanted.co.kr/wd/189384,인프랩,데이터 분석가
데이터,https://www.wanted.co.kr/wd/132623,한국신용데이터(KCD),[2600억↑투자] DevOps Engineer (SRE팀)
데이터,https://www.wanted.co.kr/wd/182658,한국신용데이터(KCD),[2600억↑투자] Business Developer (대출 부문)
데이터,https://www.wanted.co.kr/wd/182758,펄송,[신입] 데이터 사이언티스트
데이터,https://www.wanted.co.kr/wd/167105,고위드,Data Analyst
데이터,https://www.wanted.co.kr/wd/126954,모인(MOIN),개발팀 Data Analyst
데이터,https://www.wanted.co.kr/wd/102110,아이템스카우트,[신입]데이터 애널리스트
데이터,https://www.wanted.co.kr/wd/173172,핀다(FINDA),데이터 플랫폼 엔지니어
데이터,https://www.wanted.co.kr/wd/184611,콘텐츠웨이브(wavve),[Tech] 데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/182055,한국신용데이터(KCD),[2600억↑투자] Talent Acquisition Manager
데이터,https://www.wanted.co.kr/wd/164003,씨제이올리브영(CJ올리브영),데이터사이언티스트 (AI추천엔진팀)
데이터,https://www.wanted.co.kr/wd/170019,피에트(FIET),Data Scientist
데이터,https://www.wanted.co.kr/wd/189672,피데스어드바이저리,기업분석 데이터 분석가
데이터,https://www.wanted.co.kr/wd/180080,핀다(FINDA),오픈업 데이터 엔지니어 (Python)
데이터,https://www.wanted.co.kr/wd/110688,한국신용데이터(KCD),[2600억↑투자] Back-End Engineer (Banking)
데이터,https://www.wanted.co.kr/wd/138499,데이터스트림즈,HR 인사팀 페이롤 (Payroll) 담당자
데이터,https://www.wanted.co.kr/wd/115036,페이타랩(패스오더),[200억↑투자] 데이터 엔지니어(데이터 분석가)
데이터,https://www.wanted.co.kr/wd/164434,와이피랩스(커넥팅),데이터 분석가(DA)
데이터,https://www.wanted.co.kr/wd/153864,원티드랩,Data Quality Specialist [데이터팀]
데이터,https://www.wanted.co.kr/wd/142567,한국신용데이터(KCD),[2600억↑투자] Front-End Engineer (User Lifecycle)
데이터,https://www.wanted.co.kr/wd/181976,무신사,Data Analyst (데이터프로덕트팀)
데이터,https://www.wanted.co.kr/wd/140815,여기어때컴퍼니,Marketing Data Analyst
데이터,https://www.wanted.co.kr/wd/187040,플랜잇헬스케어,데이터 엔지니어(병원정보시스템 개발자)
데이터,https://www.wanted.co.kr/wd/162054,버킷플레이스(오늘의집),"Software Engineer, Data"
데이터,https://www.wanted.co.kr/wd/182096,넥슨코리아(NEXON),[인텔리전스랩스] 데이터 분석가 (개인화 콘텐츠)
데이터,https://www.wanted.co.kr/wd/139816,넥슨코리아(NEXON),[인텔리전스랩스] 데이터 분석가 (비즈니스 분석)
데이터,https://www.wanted.co.kr/wd/157213,씨제이대한통운(CJ대한통운),데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/169042,이글루코퍼레이션,웹 어플리케이션 백엔드 개발 (빅데이터보안연구소)
데이터,https://www.wanted.co.kr/wd/159581,하나투어,데이터랩 검색서비스 개발
데이터,https://www.wanted.co.kr/wd/190713,글로벌리어,Data Scientist
데이터,https://www.wanted.co.kr/wd/119682,어반데이터랩,플랫폼 개발자 (백엔드)
데이터,https://www.wanted.co.kr/wd/161531,오케이홀딩스,OK데이터시스템 IT (저축은행 수신업무 개발)
데이터,https://www.wanted.co.kr/wd/180868,에이아이에이생명(AIA생명),Data Analyst
데이터,https://www.wanted.co.kr/wd/147386,해긴,[모바일 게임] 데이터 기획 및 분석 담당자
데이터,https://www.wanted.co.kr/wd/189744,클래스팅(Classting),데이터 엔지니어
데이터,https://www.wanted.co.kr/wd/189613,엔플럭스(NFLUX),통합관제 및 데이터플랫폼 솔루션 개발자(신입)
데이터,https://www.wanted.co.kr/wd/159596,하나투어,데이터랩 여행서비스 검색 기획
데이터,https://www.wanted.co.kr/wd/184953,코드잇(codeit),[100억↑투자] 콘텐츠 프로듀서 [데이터 사이언스 교육]
